Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
8/9/2021,, AVENIDA BOLIVIA, CAÍDA, LEVE, MIÉRCOLES, 8, MONTEVIDEO, MONTEVIDEO, 1, 582535, 6140740 
15/9/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 13, CANELONES, BARROS BLANCOS, 1, 591045, 6152355 
10/8/2021,, AVENIDA LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 569290, 6143265 
24/8/2021,, MAESTRA MARIA E. CASTRILLON, CAÍDA, LEVE, MARTES, 3, TACUAREMBO, TACUAREMBO, 1, 597140, 6491605 
1/7/2021,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, DURAZNO, DURAZNO, 1, 544415, 6306730 
9/7/2021,, MIGUEL BARREIRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, CERRO LARGO, MELO, 1, 766940, 6415085 
5/9/2021,, DIECIOCHO DE JULIO, DESPISTE, LEVE, DOMINGO, 3, TACUAREMBO, TACUAREMBO, 1, 596910, 6491225 
15/9/2021,, AVENIDA URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 10, MONTEVIDEO, MONTEVIDEO, 1, 573545, 6137385 
11/5/2021,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, DURAZNO, DURAZNO, 1, 544720, 6306450 
8/6/2021,, ANDRES LATORRE, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MARTES, 4, CERRO LARGO, MELO, 1, 768945, 6415030 
3/8/2021,, RUTA OCHENTA Y CUATRO, ATROPELLO DE ANIMALES, LEVE, MARTES, 6, CANELONES, JOAQUIN SUAREZ, 1, 588995, 6156775 
22/8/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 0, TACUAREMBO, SIN DATOS, 1, 600320, 6492705 
13/4/2021,, CORONEL FELIPE ARGENTO, DESPISTE, SIN LESIONADOS, MARTES, 4, PAYSANDU, PAYSANDU, 1, 399800, 6425370 
12/9/2021,, AVELLANEDA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 11, MONTEVIDEO, MONTEVIDEO, 1, 577910, 6140535 
2/7/2021,, CARAVIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, FLORIDA, FLORIDA, 1, 572945, 6225815 
11/8/2021,, AVENIDA JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 7, MONTEVIDEO, MONTEVIDEO, 1, 573440, 6142085 
13/7/2021,, DOCTOR ORTELIO MENDEZ TECHERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, TREINTA Y TRES, TREINTA Y TRES, 1, 743955, 6318200 
20/7/2021,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, SALTO, SALTO, 1, 408120, 6527295 
7/7/2021,, DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 21, RIVERA, VICHADERO, 1, 718450, 6481875 
23/7/2021,, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 577455, 6140015 
